MASTERID,LAT,LONG,STRAT,rock_type,Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM
ID093J073650,54.40125,-122.74497,LTQCh,basaltic volcanic rocks,960.0,5.5,124.0,0.12,1.74,9.7,70.5,66.44,4.8,190.0,304.0,4.18,60.7,10.45,0.68,4.4,2.5,46.0,0.04,1.1,0.18,1.3,98.0,-0.1,154.2,25.0,26600.00086,9100.0,25299.999999999996,500.0,3000.0,260.0,2630.0,4200.0,100.0
ID093J073651,54.51315,-123.0397,TrJTk,basaltic volcanic rocks,200.0,4.300000191,103.5,0.07,0.56,8.8,78.5,48.49,3.3,195.0,524.0,2.44,50.3,9.51,0.74,10.4,1.3,42.2,0.02,2.4,0.1,0.6,54.0,-0.1,74.1,7.1,15000.0,12300.0,22400.000000000004,500.0,4300.0,300.0,1170.0,4000.0,310.0
ID093J073652,54.51563,-123.10455,TrJTk,basaltic volcanic rocks,320.0,3.799999952,24.5,0.08,0.67,10.9,62.0,58.77,3.5,295.0,202.0,2.1,60.8,6.93,0.7,10.8,1.8,42.5,0.02,1.8,0.16,0.7,46.0,-0.1,96.1,6.5,14700.00029,13899.999999999998,23800.0,500.0,4700.0,260.0,900.0,10600.0,230.0
ID093J073653,54.51311,-123.12919,TrJTk,basaltic volcanic rocks,680.0,7.0,53.5,0.12,1.37,12.9,88.5,76.46,5.6,355.0,273.0,3.31,109.6,8.54,0.86,9.9,1.8,48.5,0.04,1.4,0.22,1.2,76.0,-0.1,177.2,13.0,22899.99962,12000.0,30400.0,1000.0,6600.0,210.0,1700.0000000000002,5600.000000000001,200.0
ID093J073654,54.50064,-123.19249,TrJTk,basaltic volcanic rocks,380.0,5.699999809,22.5,0.08,1.01,9.8,116.5,54.14,3.7,235.0,232.0,6.42,129.9,7.07,0.66,11.7,17.4,66.5,0.04,1.9,0.16,4.7,42.0,-0.1,104.4,12.0,15399.99962,12200.0,24100.0,600.0,6800.000000000001,280.0,960.0,13799.999999999998,220.0
ID093J073655,54.50592,-123.20748,TrJTk,basaltic volcanic rocks,380.0,8.300000191,240.5,0.12,0.91,15.5,88.0,58.56,5.1,205.0,492.0,2.57,94.7,9.25,0.78,16.3,1.5,48.0,0.04,3.1,0.18,1.3,72.0,-0.1,127.4,11.5,17899.99962,10000.0,33200.0,1000.0,8100.000000000001,340.0,9800.0,3200.0,429.99999999999994
ID093J073656,54.51062,-123.26643,TrJTk,basaltic volcanic rocks,280.0,7.199999809,52.5,0.04,0.86,9.9,60.0,43.27,1.9,175.0,157.0,5.09,79.4,5.74,0.76,4.3,1.7,48.5,0.02,0.8,0.12,0.8,26.0,-0.1,111.8,5.5,8500.00024,11800.0,10700.0,300.0,2900.0,280.0,1360.0,6400.0,100.0
ID093J073657,54.51538,-123.27304,TrJTk,basaltic volcanic rocks,200.0,6.599999905,58.5,0.04,0.76,8.1,52.0,37.29,1.5,175.0,118.0,4.19,69.6,5.59,0.7,3.3,1.4,43.0,0.04,0.5,0.1,0.8,22.0,-0.1,92.6,5.0,6899.99998,11200.000000000002,7600.0,300.0,2600.0,300.0,9900.0,5600.000000000001,90.0
ID093J073658,54.53086,-123.39224,KTpg,paragneiss metamorphic rocks,380.0,4.300000191,222.5,0.08,2.06,11.9,82.5,46.09,4.1,315.0,191.0,2.87,108.3,7.85,0.56,10.3,2.6,53.5,0.02,1.2,0.24,1.4,44.0,-0.1,137.3,10.0,16799.999480000002,11600.0,21100.0,700.0000000000001,6800.000000000001,300.0,840.0,3600.0,220.0
ID093J073659,54.54372,-123.45165,KTmc,calcsilicate metamorphic rocks,400.0,5.300000191,362.5,0.1,0.97,12.4,139.5,51.95,5.1,235.0,397.0,2.08,114.0,8.63,0.74,11.2,1.8,50.5,0.04,1.4,0.18,1.1,64.0,-0.1,145.6,11.5,21099.99895,11399.999999999998,23100.0,900.0,7000.0,360.0,1390.0000000000002,3000.0,250.0
