MASTERID,LAT,LONG,STRAT,rock_type,Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM
ID093G073090,53.33362,-122.41888,uTrJNc,volcaniclastic rocks,260.0,9.300000191,120.5,0.08,0.91,11.7,96.0,25.75,4.3,65.0,458.0,1.45,37.7,2.54,0.38,4.3,1.5,39.0,-0.02,0.8,0.12,0.9,50.0,-0.1,62.6,8.0,20599.999429999996,5800.0,20000.0,600.0,7900.0,370.0,840.0,2000.0,410.0
ID093G073091,53.3275,-122.43954,uTrJNc,volcaniclastic rocks,540.0,13.5,16.5,0.14,0.96,12.8,57.0,120.0,4.4,155.0,277.0,7.39,43.3,1.59,1.22,6.7,5.9,41.5,0.02,1.1,0.14,1.5,102.0,-0.1,109.0,13.0,21099.99895,11399.999999999998,34100.0,600.0,4500.0,400.0,1140.0,24400.0,290.0
ID093G073092,53.35214,-122.46867,uTrJNc,volcaniclastic rocks,720.0,8.800000191,29.0,0.12,1.52,12.2,54.5,58.51,4.8,115.0,260.0,1.63,49.2,3.53,1.16,6.6,4.5,60.5,0.04,1.3,0.12,1.3,52.0,-0.1,117.8,7.5,21400.00105,10000.0,22500.0,600.0,6600.0,340.0,859.9999999999999,13200.0,360.0
ID093G073093,53.35594,-122.46745,uTrJNc,volcaniclastic rocks,1200.0,14.10000038,22.0,0.14,1.51,10.3,48.0,72.0,4.6,155.0,203.0,1.46,52.9,3.03,1.18,6.9,7.1,59.5,0.02,1.3,0.12,1.7,42.0,-0.1,102.7,9.0,22300.000190000002,10800.0,23600.0,600.0,5800.0,300.0,750.0,16400.0,280.0
ID093G073094,53.37262,-122.48144,uTrJNc,volcaniclastic rocks,1640.0,19.79999924,34.0,0.12,2.05,9.2,39.0,86.77,3.4,235.0,347.0,7.91,48.7,2.53,1.8,2.1,5.0,48.5,0.04,0.4,0.1,0.8,66.0,-0.1,163.2,10.5,14400.00057,8200.0,20200.0,500.0,2300.0,320.0,1260.0,10200.0,100.0
ID093G073095,53.42217,-122.50221,uTrJNc,volcaniclastic rocks,320.0,10.19999981,173.0,0.16,0.48,14.0,88.0,29.08,6.0,110.0,684.0,1.34,53.9,4.62,0.4,7.2,2.1,26.0,-0.02,2.1,0.14,2.8,54.0,-0.1,66.4,15.0,26300.00114,3800.0,35500.0,700.0000000000001,6000.0,370.0,2260.0,3000.0,400.0
ID093G073097,53.58688,-122.59128,uPrPzS,metasediments,320.0,5.400000095,229.5,0.46,0.84,14.7,72.0,36.86,7.4,145.0,1791.0,1.97,76.0,3.38,0.32,7.7,4.1,38.5,0.02,2.0,0.28,6.0,52.0,-0.1,105.5,32.0,32799.999710000004,5800.0,34500.0,700.0000000000001,4300.0,350.00000000000006,2470.0,3000.0,310.0
ID093G073098,53.5755,-122.59521,uPrPzS,metasediments,460.0,5.599999905,265.5,0.52,0.77,11.4,75.5,43.56,7.5,200.0,845.0,1.97,55.6,4.6,0.36,6.8,3.8,47.0,-0.02,1.6,0.18,5.4,60.0,-0.1,106.2,29.0,37300.00019,7400.0,36900.0,800.0,5200.0,350.00000000000006,2970.0,3400.0000000000005,310.0
ID093G073099,53.58313,-122.5826,uPrPzS,metasediments,260.0,2.900000095,98.5,0.26,0.64,6.9,39.5,33.16,4.5,170.0,253.0,1.24,37.1,3.57,0.22,1.5,3.0,32.0,-0.02,0.3,0.14,4.1,26.0,-0.1,71.9,19.0,18799.999949999998,5300.0,9500.0,500.0,2200.0,330.0,930.0,4400.0,120.0
ID093G073100,53.52,-122.50862,Kgr,"foliated granite, alkali feldspar granite intrusive rocks",360.0,2.599999905,126.0,0.08,0.64,5.4,46.5,28.28,4.3,175.0,171.0,0.87,30.5,3.3,0.28,2.1,1.9,28.0,-0.02,0.3,0.1,3.2,36.0,-0.1,73.0,11.0,22699.999809999998,3500.0,10500.0,500.0,2900.0,370.0,1540.0,2200.0,160.0
ID093G073102,53.55939,-122.49714,Kgr,"foliated granite, alkali feldspar granite intrusive rocks",480.0,4.099999905,217.0,0.26,0.46,14.3,71.5,23.68,9.0,260.0,583.0,1.45,41.7,6.53,0.24,4.1,2.6,50.5,0.02,1.0,0.2,12.2,66.0,-0.1,90.2,40.0,45199.99981,4500.0,24100.0,900.0,4900.0,420.0,3030.0,2800.0000000000005,340.0
ID093G073103,53.61377,-122.56215,uPrPzS,metasediments,440.0,4.900000095,36.0,0.34,0.8,18.7,67.0,49.81,9.6,175.0,287.0,2.44,65.1,5.34,0.26,2.8,4.4,42.5,0.02,1.2,0.32,5.9,42.0,-0.1,97.4,48.0,29900.0001,6300.0,19000.0,800.0,4200.0,350.00000000000006,1710.0000000000002,9400.0,180.0
ID093G073104,53.67252,-122.54498,TrJTk,undivided sedimentary rocks,520.0,3.099999905,168.5,0.1,1.07,6.9,61.5,44.87,4.3,150.0,762.0,1.48,44.8,3.04,0.42,2.3,4.0,63.0,-0.02,0.5,0.08,1.6,48.0,-0.1,114.7,14.5,24600.00038,7300.0,19500.0,600.0,2900.0,340.0,2540.0,4000.0,110.0
ID093G073105,53.687,-122.53301,TrJTk,undivided sedimentary rocks,420.0,2.200000048,147.0,0.16,0.66,7.5,76.5,27.79,5.4,100.0,220.0,0.8,44.6,4.93,0.2,4.0,1.7,35.5,-0.02,0.5,0.12,1.1,38.0,-0.1,104.9,9.0,26600.00086,5300.0,16700.0,700.0000000000001,5400.0,320.0,1060.0,2600.0,220.0
ID093G073106,53.6977,-122.51563,TrJTk,undivided sedimentary rocks,460.0,4.199999809,178.5,0.14,0.5,12.7,80.0,51.9,7.4,90.0,541.0,2.48,59.0,6.55,0.49,5.7,2.7,39.5,0.02,0.6,0.1,0.9,70.0,-0.1,121.7,11.5,31900.000570000004,7800.0,22599.999999999996,800.0,5699.999999999999,380.0,1419.9999999999998,4000.0,390.0
ID093G073107,53.6977,-122.51563,TrJTk,undivided sedimentary rocks,390.0,2.900000095,169.0,0.12,0.43,11.0,77.0,47.09,5.6,85.0,532.0,1.23,54.1,4.53,0.46,5.3,2.4,42.5,0.02,0.5,0.08,0.8,66.0,-0.1,113.2,8.0,30899.99914,7400.0,21300.0,700.0000000000001,5400.0,360.0,1400.0000000000002,3800.0,360.0
ID093G073108,53.69979,-122.47121,TrJTk,undivided sedimentary rocks,396.0,2.089999914,114.4,0.09,0.53,6.5,55.0,38.31,3.6,75.0,188.0,1.38,35.0,2.02,0.37,1.9,2.5,25.9,0.02,0.2,0.04,0.8,40.0,-0.1,61.9,8.8,21300.00114,4400.0,8800.0,500.0,2900.0,340.0,1150.0,3300.0,150.0
ID093G073109,53.6959,-122.45026,TrJTk,undivided sedimentary rocks,580.0,3.0,170.5,0.14,1.24,9.4,84.0,53.12,5.6,85.0,422.0,1.67,41.5,5.33,0.18,4.4,3.1,50.0,0.02,1.2,0.16,2.4,46.0,-0.1,92.6,19.5,20299.99971,5300.0,19100.0,600.0,6200.0,420.0,1130.0,1800.0,340.0
ID093G073110,53.72592,-122.42988,TrJTk,undivided sedimentary rocks,220.0,2.400000095,111.5,0.06,0.52,7.1,46.5,28.89,3.3,90.0,292.0,1.16,29.1,2.74,0.26,2.2,2.6,23.0,-0.02,0.3,0.06,0.5,42.0,-0.1,83.7,9.5,19600.00038,4200.0,9800.0,400.0,1800.0,320.0,890.0,2800.0000000000005,160.0
ID093G073111,53.73227,-122.40107,TrJTk,undivided sedimentary rocks,300.0,1.5,107.5,0.06,0.35,5.8,37.5,25.09,2.8,50.0,154.0,1.02,26.5,2.32,0.2,1.2,2.2,25.5,-0.02,0.2,0.04,0.7,32.0,-0.1,48.2,8.5,15599.99943,3600.0,7900.0,500.0,2200.0,340.0,810.0,3000.0,110.0
ID093G073112,53.74862,-122.36878,MJqm,quartz monzonitic intrusive rocks,580.0,5.900000095,166.0,0.1,1.06,12.0,58.0,36.2,4.0,190.0,1154.0,2.0,30.0,5.52,0.38,6.8,6.1,54.5,0.02,1.2,0.1,2.1,74.0,-0.1,96.5,13.5,21900.000570000004,9400.0,36300.0,600.0,3500.0,340.0,2450.0,5400.0,240.0
ID093G073113,53.74177,-122.35319,MJqm,quartz monzonitic intrusive rocks,780.0,3.099999905,173.5,0.2,0.68,8.5,45.0,43.6,5.8,270.0,428.0,2.28,33.0,11.39,0.2,4.5,4.9,68.0,0.02,0.9,0.12,1.9,62.0,-0.1,78.1,30.0,26199.99886,6300.0,19900.0,600.0,3600.0,330.0,2160.0,3400.0000000000005,270.0
ID093G073114,53.73614,-122.3451,MJqm,quartz monzonitic intrusive rocks,300.0,1.5,91.5,0.12,0.55,4.6,35.5,31.1,3.5,95.0,161.0,2.0,20.7,8.02,0.12,2.2,3.1,49.5,-0.02,0.5,0.08,1.2,26.0,-0.1,64.4,16.0,13700.00005,5000.0,9800.0,500.0,2800.0000000000005,350.00000000000006,1070.0,3200.0,170.0
ID093G073115,53.73234,-122.33487,MJqm,quartz monzonitic intrusive rocks,320.0,1.899999976,101.0,0.08,0.57,3.8,32.0,28.87,3.2,125.0,191.0,2.08,23.9,2.05,0.12,2.2,4.7,51.0,-0.02,0.4,0.08,1.5,28.0,-0.1,53.8,19.0,13999.999759999999,5900.0,9700.0,400.0,1600.0,330.0,1190.0,3200.0,130.0
ID093G073117,53.72873,-122.31974,MJqm,quartz monzonitic intrusive rocks,740.0,2.700000048,159.5,0.12,1.06,7.1,49.0,50.54,4.7,235.0,350.0,2.21,37.0,4.77,0.22,3.3,6.9,63.5,0.02,0.7,0.14,1.8,50.0,-0.1,97.5,27.0,22999.999519999998,7800.0,18000.0,600.0,2700.0,330.0,2380.0,4800.0,210.0
ID093G073118,53.72932,-122.28967,MJqm,quartz monzonitic intrusive rocks,500.0,2.900000095,43.0,0.12,0.71,8.5,46.0,40.83,3.5,65.0,267.0,10.15,30.6,4.85,0.32,4.3,6.5,38.0,0.02,1.2,0.1,4.6,50.0,-0.1,101.2,7.0,15000.0,5900.0,23200.0,600.0,4900.0,290.0,1260.0,8400.0,340.0
ID093G073119,53.737,-122.28789,MJqm,quartz monzonitic intrusive rocks,600.0,3.299999952,111.5,0.1,0.83,10.8,56.0,44.79,3.7,95.0,274.0,2.46,32.3,2.86,0.36,8.1,9.3,24.5,-0.02,0.9,0.06,3.0,60.0,-0.1,79.3,11.0,13899.99986,5900.0,15700.0,500.0,4100.0,320.0,900.0,5000.0,370.0
ID093G073120,53.72654,-122.22932,TrJTk,undivided sedimentary rocks,280.0,1.600000024,97.0,0.08,0.85,4.6,63.0,23.61,4.3,80.0,155.0,0.94,20.8,3.21,0.22,4.7,1.0,28.5,-0.02,0.7,0.06,0.4,38.0,-0.1,107.1,5.0,15700.00052,7900.0,11700.0,500.0,4500.0,310.0,630.0,2400.0,660.0
ID093G073122,53.71506,-122.19965,TrJTk,basaltic volcaniclastic rocks,640.0,3.200000048,95.5,0.08,1.0,5.6,56.5,35.83,3.1,100.0,330.0,0.85,26.7,2.35,0.3,3.8,6.6,54.0,-0.02,0.8,0.04,2.0,28.0,-0.1,50.8,11.0,10000.0,10300.0,11800.0,400.0,3100.0,270.0,429.99999999999994,3400.0000000000005,330.0
ID093G073123,53.68072,-122.17878,TrJTk,basaltic volcaniclastic rocks,860.0,2.799999952,80.5,0.08,0.89,6.4,83.0,129.3,2.9,205.0,135.0,4.33,64.8,1.85,0.58,9.8,15.6,37.0,-0.02,0.6,0.06,4.1,30.0,-0.1,71.7,12.0,10900.000329999999,8500.0,7800.0,400.0,3100.0,290.0,700.0000000000001,5600.000000000001,240.0
ID093G073124,53.66637,-122.1605,TrJTk,basaltic volcaniclastic rocks,140.0,6.400000095,30.0,0.04,0.23,2.9,34.0,19.87,1.3,35.0,719.0,6.26,11.1,5.742047493403704,0.4,3.2,5.6,28.5,-0.02,0.3,0.02,1.6,40.0,-0.1,46.8,2.0,4600.00008,6000.0,11700.0,300.0,1700.0000000000002,270.0,660.0,8400.0,180.0
ID093G073125,53.69671,-122.09688,TrJTk,basaltic volcaniclastic rocks,300.0,1.899999976,152.5,0.04,0.52,10.3,79.5,28.11,4.0,130.0,247.0,0.95,28.6,1.37,0.28,2.5,1.7,16.0,-0.02,0.2,0.06,0.4,48.0,-0.1,85.3,7.5,23900.00105,3700.0,10600.0,500.0,2900.0,320.0,1040.0,2400.0,350.00000000000006
ID093G073126,53.69671,-122.09688,TrJTk,basaltic volcaniclastic rocks,280.0,1.899999976,147.5,0.04,0.53,13.6,83.0,27.34,4.1,120.0,256.0,1.31,28.3,1.1,0.26,2.9,1.9,16.0,-0.02,0.2,0.06,0.4,46.0,-0.1,81.5,7.0,23399.99914,4100.0,11600.0,500.0,3000.0,320.0,1080.0,2200.0,320.0
ID093G073127,53.71344,-122.14828,TrJTk,basaltic volcaniclastic rocks,300.0,1.5,80.0,0.04,0.52,10.6,55.0,29.41,2.5,55.0,132.0,0.95,29.8,1.25,0.24,1.4,2.2,16.5,-0.02,0.1,0.04,0.4,42.0,-0.1,90.0,6.5,25099.9999,3700.0,6600.0,400.0,1100.0,300.0,1460.0,3800.0,90.0
ID093G073128,53.72779,-122.18613,TrJTk,basaltic volcaniclastic rocks,1500.0,6.099999905,185.0,0.16,1.1,10.2,83.5,73.48,6.2,350.0,246.0,2.46,42.6,6.07,0.7,14.2,4.0,43.0,-0.02,0.7,0.1,0.9,88.0,-0.1,117.0,15.5,29500.000480000002,9800.0,20299.999999999996,600.0,5600.000000000001,330.0,1130.0,5000.0,530.0
ID093G073129,53.74687,-122.28804,MJqm,quartz monzonitic intrusive rocks,420.0,1.799999952,82.0,0.06,0.5,4.8,42.0,31.28,2.6,65.0,211.0,1.73,24.3,2.22,0.32,1.4,2.5,40.5,-0.02,0.2,0.04,1.1,28.0,-0.1,81.3,7.5,15900.000329999999,7400.0,8400.0,500.0,2400.0,320.0,2200.0,4600.0,70.0
ID093G073130,53.74707,-122.31022,MJqm,quartz monzonitic intrusive rocks,280.0,1.600000024,82.5,0.04,0.37,4.1,31.5,21.65,2.5,55.0,210.0,1.24,20.3,0.66,0.22,1.0,1.6,41.5,-0.02,0.1,0.04,0.6,24.0,-0.1,74.5,7.5,11200.00005,6800.000000000001,6600.0,400.0,2000.0,300.0,1320.0,3400.0000000000005,70.0
ID093G073131,53.75356,-122.24273,TrJTk,undivided sedimentary rocks,220.0,2.799999952,23.0,0.04,0.82,4.3,40.0,22.9,1.4,80.0,492.0,5.76,23.2,1.29,0.46,2.2,19.3,102.5,-0.02,0.4,0.04,5.7,22.0,-0.1,75.2,3.0,5899.99974,24200.0,13799.999999999998,400.0,2400.0,300.0,1070.0,22200.000000000004,150.0
ID093G073132,53.76011,-122.207,TrJTk,basaltic volcaniclastic rocks,180.0,3.0,36.0,0.04,0.51,7.0,57.5,42.65,1.7,70.0,221.0,3.12,22.5,1.41,0.5,3.5,5.8,67.0,-0.02,0.6,0.04,1.6,26.0,-0.1,81.2,4.0,5799.99983,9700.0,14200.0,300.0,2700.0,380.0,580.0,9600.0,210.0
ID093G073134,53.74109,-122.1683,TrJTk,basaltic volcaniclastic rocks,300.0,1.600000024,94.5,0.04,0.3,3.9,35.5,34.71,1.8,90.0,89.0,1.25,24.6,0.67,0.46,1.1,2.5,38.5,-0.02,-0.1,-0.02,0.6,24.0,-0.1,39.1,5.5,8399.999740000001,5699.999999999999,3500.0,300.0,1000.0,330.0,690.0000000000001,3300.0,70.0
ID093G073135,53.73949,-122.158,TrJTk,basaltic volcaniclastic rocks,840.0,4.0,79.0,0.1,0.6,9.3,63.0,63.42,4.4,240.0,279.0,4.09,35.1,3.31,0.56,10.1,8.9,83.5,0.02,1.0,0.06,2.4,52.0,-0.1,67.2,11.5,20099.9999,11000.0,19700.0,500.0,3700.0,310.0,890.0,6800.000000000001,370.0
ID093G073136,53.74816,-122.15668,TrJTk,basaltic volcaniclastic rocks,460.0,2.400000095,19.5,0.06,0.64,4.4,37.5,37.01,1.9,100.0,243.0,15.35,16.2,1.32,0.38,2.8,15.8,94.5,0.02,0.6,0.04,2.7,28.0,-0.1,69.6,3.0,7099.99979,13300.0,19400.0,300.0,2000.0,260.0,760.0,14800.0,160.0
ID093G073137,53.73689,-122.12702,TrJTk,basaltic volcaniclastic rocks,320.0,2.200000048,155.0,0.06,0.48,8.0,75.0,28.61,4.9,180.0,212.0,0.72,31.3,1.62,0.24,4.9,1.8,22.0,-0.02,0.3,0.06,0.5,46.0,-0.1,83.7,8.0,28399.99914,4700.0,16500.0,500.0,4100.0,310.0,1320.0,2200.0,370.0
ID093G073138,53.70687,-122.02776,TrJTk,basaltic volcaniclastic rocks,300.0,7.400000095,154.0,0.04,0.82,14.0,89.0,34.7,6.0,190.0,328.0,3.77,39.6,1.18,2.04,13.6,4.9,38.5,-0.02,0.7,0.06,2.3,62.0,-0.1,92.3,8.5,31500.00095,8800.0,24400.0,600.0,6700.0,370.0,1860.0,3600.0,920.0
ID093G073139,53.6672,-122.02465,TrJTk,basaltic volcaniclastic rocks,1100.0,4.5,85.0,0.06,2.21,15.7,49.0,50.01,3.7,280.0,546.0,2.77,25.5,1.26,0.48,2.9,4.9,64.0,-0.02,0.2,0.08,0.7,46.0,-0.1,192.4,13.0,35499.99952,11700.0,19100.0,500.0,1500.0,310.0,3740.0,7000.0,90.0
ID093G073140,53.63485,-122.03797,TrJTk,basaltic volcaniclastic rocks,300.0,11.0,156.5,0.1,1.11,14.4,92.5,97.14,6.7,120.0,636.0,5.3,55.9,5.25,1.8,26.7,6.5,40.5,0.02,2.8,0.1,1.8,110.0,-0.1,98.8,11.0,28199.999330000002,11399.999999999998,28900.0,600.0,10200.0,400.0,509.99999999999994,4000.0,1370.0
ID093G073142,53.62107,-122.02837,TrJTk,basaltic volcaniclastic rocks,320.0,6.400000095,129.5,0.06,0.58,17.1,87.0,31.79,6.1,235.0,1291.0,1.72,37.1,2.6,0.76,20.1,3.0,21.0,0.02,1.2,0.1,0.5,106.0,-0.1,94.1,11.5,36700.00076,6300.0,38100.0,600.0,7000.0,400.0,2470.0,2400.0,9800.0
ID093G073143,53.61768,-122.07943,TrJTk,basaltic volcaniclastic rocks,640.0,3.0,98.5,0.06,0.81,9.0,51.5,39.37,4.5,155.0,142.0,0.86,42.9,2.43,0.3,3.1,3.9,26.0,-0.02,0.3,0.08,0.9,30.0,-0.1,113.0,15.5,26800.000669999998,4200.0,11500.0,500.0,2800.0000000000005,300.0,1800.0,3000.0,200.0
ID093G073144,53.61768,-122.07943,TrJTk,basaltic volcaniclastic rocks,660.0,3.0,105.0,0.06,0.84,9.3,53.5,42.2,4.6,150.0,151.0,1.13,44.8,4.07,0.3,3.2,3.7,26.5,-0.02,0.3,0.08,0.9,30.0,-0.1,110.8,16.0,27100.00038,4400.0,12200.0,500.0,3000.0,320.0,1760.0,3000.0,220.0
ID093G073145,53.59037,-122.12973,TrJTk,basaltic volcaniclastic rocks,720.0,4.699999809,460.5,0.14,1.16,11.7,60.0,38.54,5.1,205.0,455.0,1.57,44.9,4.64,0.16,4.7,3.4,49.0,0.02,0.8,0.12,2.0,38.0,-0.1,98.4,19.5,24400.000570000004,8200.0,20099.999999999996,600.0,4500.0,330.0,2670.0,3200.0,270.0
ID093G073146,53.54037,-122.07993,TrJTk,basaltic volcaniclastic rocks,920.0,3.0,147.0,0.08,0.94,7.8,80.5,54.06,4.7,350.0,216.0,0.97,45.0,2.62,0.4,5.3,2.7,32.5,-0.02,0.4,0.08,0.7,42.0,-0.1,77.6,11.0,25099.9999,6600.0,16299.999999999998,600.0,4800.0,310.0,1370.0,2400.0,370.0
ID093G073147,53.55292,-122.06897,TrJTk,basaltic volcaniclastic rocks,1580.0,3.799999952,157.5,0.1,2.12,5.8,68.5,77.86,4.3,345.0,220.0,3.83,41.9,2.32,0.78,2.8,5.4,74.5,-0.02,0.2,0.08,1.3,56.0,-0.1,96.0,15.0,29700.00029,10500.0,12500.0,500.0,2400.0,330.0,3030.0,5200.0,170.0
ID093G073149,53.55817,-122.02743,TrJTk,basaltic volcaniclastic rocks,320.0,2.099999905,115.0,0.02,0.44,4.1,58.5,35.53,2.9,230.0,120.0,0.61,20.8,0.25,0.22,5.3,2.9,19.0,-0.02,0.2,0.04,0.5,30.0,-0.1,42.1,8.0,18099.99943,5400.0,7500.0,300.0,2000.0,270.0,1280.0,2800.0000000000005,320.0
ID093G073150,53.54988,-122.02255,TrJTk,basaltic volcaniclastic rocks,500.0,3.599999905,187.5,0.06,0.37,10.6,88.0,40.8,4.5,235.0,353.0,0.63,29.9,3.45,0.34,11.5,3.6,19.5,-0.02,0.4,0.06,0.6,74.0,-0.1,68.2,10.5,26199.99886,5400.0,18900.0,400.0,3600.0,300.0,2360.0,2600.0,550.0
ID093G073155,53.5739,-122.0188,TrJTk,basaltic volcaniclastic rocks,520.0,2.5,92.0,0.04,0.38,4.8,82.5,41.78,2.8,315.0,116.0,0.82,21.4,0.24,0.3,4.4,3.8,18.0,-0.02,0.1,0.02,0.5,44.0,-0.1,52.8,8.5,27100.00038,4500.0,5600.000000000001,400.0,1500.0,300.0,2130.0,3600.0,230.0
ID093G073156,53.60443,-122.02523,TrJTk,basaltic volcaniclastic rocks,700.0,4.699999809,169.5,0.08,1.48,12.7,78.0,41.71,4.8,345.0,645.0,4.86,33.2,2.73,0.48,6.9,3.4,46.5,-0.02,0.3,0.12,0.9,72.0,-0.1,128.3,8.5,32799.999710000004,9500.0,22900.0,600.0,4600.0,380.0,3550.0,3600.0,390.0
ID093G073165,53.76164,-122.07223,CPSm,basaltic volcanic rocks,300.0,3.200000048,186.0,0.06,0.32,8.5,94.5,51.51,5.2,465.0,218.0,0.8,43.6,1.63,0.5,10.6,2.4,14.5,-0.02,0.5,0.04,0.4,64.0,-0.1,69.6,9.0,27599.9999,4600.0,17400.0,500.0,5100.0,320.0,1400.0000000000002,2800.0000000000005,680.0
ID093G073166,53.76143,-122.11583,TrJTk,basaltic volcaniclastic rocks,140.0,4.400000095,174.0,0.06,0.35,19.0,103.0,33.18,7.5,100.0,660.0,1.11,50.5,2.62,1.18,15.2,1.6,18.5,-0.02,1.6,0.06,0.6,106.0,-0.1,80.6,8.5,30599.999429999996,7600.0,36800.0,600.0,10600.0,360.0,910.0,1400.0000000000002,1570.0
ID093G073167,53.76889,-122.13998,LTQCh,basaltic volcanic rocks,680.0,10.69999981,77.0,0.1,0.55,14.6,61.5,84.67,4.3,245.0,581.0,4.97,45.7,3.77,0.78,7.1,5.3,77.5,0.04,0.8,0.08,0.9,54.0,-0.1,131.9,8.5,18999.99976,12800.0,23300.0,600.0,5900.0,340.0,9900.0,8200.0,290.0
ID093G073168,53.78723,-122.17684,TrJTk,basaltic volcaniclastic rocks,440.0,6.699999809,102.0,0.12,0.75,17.1,72.5,59.08,4.8,145.0,571.0,2.76,47.8,5.58,0.76,8.4,4.6,67.0,0.02,1.8,0.08,1.1,58.0,-0.1,110.2,10.0,19500.00048,9900.0,23900.0,500.0,6000.0,340.0,1040.0,7000.0,500.0
ID093G073169,53.80032,-122.19192,TrJTk,basaltic volcaniclastic rocks,160.0,1.600000024,39.5,0.02,0.44,3.2,23.5,20.43,0.8,75.0,116.0,4.12,14.1,1.39,0.54,1.7,7.8,76.5,-0.02,0.4,0.02,3.5,14.0,-0.1,74.6,2.0,4000.0000600000003,18100.0,4500.0,300.0,1500.0,270.0,610.0,8400.0,90.0
ID093G073170,53.77263,-122.21682,TrJTk,basaltic volcaniclastic rocks,200.0,1.399999976,35.0,0.02,0.41,2.2,15.5,18.21,0.6,80.0,263.0,4.31,12.3,5.742047493403704,0.38,1.6,3.7,375.5,0.04,0.3,-0.02,1.5,8.0,-0.1,59.9,1.5,2899.9999199999997,19400.0,6899.999999999999,300.0,1600.0,410.0,580.0,14400.0,70.0
ID093G073171,53.78421,-122.27962,TrJTk,undivided sedimentary rocks,720.0,3.400000095,90.0,0.08,1.14,4.6,48.5,40.35,3.1,150.0,193.0,1.99,26.8,1.74,0.24,5.8,6.3,53.0,-0.02,0.7,0.04,3.5,38.0,-0.1,141.1,13.5,11299.99995,8900.0,10900.0,300.0,3000.0,280.0,800.0,3800.0,210.0
ID093G073172,53.76574,-122.30374,MJqm,quartz monzonitic intrusive rocks,340.0,2.700000048,109.5,0.04,0.57,3.5,22.5,53.81,2.5,125.0,760.0,2.9,27.2,0.59,0.48,2.0,3.2,72.5,-0.02,0.5,0.1,1.1,22.0,-0.1,112.7,20.5,8399.999740000001,9800.0,11500.0,200.0,1100.0,290.0,1180.0,5000.0,50.0
ID093G073173,53.74858,-122.33308,MJqm,quartz monzonitic intrusive rocks,440.0,2.400000095,92.5,0.06,0.58,4.7,52.0,28.52,3.5,95.0,123.0,1.76,20.9,1.6,0.32,0.7,2.1,47.5,-0.02,0.2,0.04,0.9,36.0,-0.1,91.6,16.0,13400.000329999999,4800.0,5100.0,300.0,1300.0,310.0,1270.0,2800.0000000000005,40.0
ID093G073174,53.77772,-122.36666,TrJTk,basaltic volcaniclastic rocks,740.0,4.099999905,39.5,0.08,0.97,5.3,34.5,37.81,3.2,120.0,310.0,2.71,28.1,4.02,0.44,3.0,10.9,84.0,-0.02,1.1,0.06,3.7,22.0,-0.1,70.4,13.5,10099.9999,7900.0,16500.0,400.0,3000.0,310.0,630.0,10400.0,160.0
ID093G073175,53.80638,-122.31229,TrJTk,transitional mixed volcanic and sedimentary rocks,980.0,5.099999905,45.0,0.1,3.55,9.1,46.5,57.19,3.9,225.0,309.0,2.89,36.0,5.38,0.5,3.8,12.4,94.5,-0.02,1.1,0.12,3.5,30.0,-0.1,127.3,13.0,16100.00014,12100.0,21800.0,400.0,3800.0,300.0,1110.0,10000.0,160.0
ID093G073176,53.81698,-122.19233,TrJTk,basaltic volcaniclastic rocks,1480.0,13.19999981,47.0,0.04,6.51,9.1,536.0,188.5,3.0,840.0,125.0,16.58,71.6,1.34,1.4,3.4,46.2,92.0,-0.02,0.3,0.08,26.1,100.0,-0.1,66.4,13.0,3899.9998600000004,15200.0,6500.0,200.0,2000.0,280.0,730.0,8400.0,120.0
ID093G073177,53.8028,-122.08913,CPSm,basaltic volcanic rocks,360.0,4.0,140.0,0.04,0.44,8.3,77.0,117.8,2.1,335.0,391.0,1.35,25.8,0.3,0.62,10.7,4.0,18.0,-0.02,0.3,0.04,0.5,64.0,-0.1,62.0,6.5,8600.00014,10200.0,12200.0,200.0,2400.0,250.0,520.0,4600.0,180.0
ID093G073179,53.81709,-122.02993,CPSm,basaltic volcanic rocks,140.0,1.600000024,62.0,0.04,0.48,2.1,113.5,15.06,1.3,35.0,60.0,2.68,8.7,1.83,0.88,0.9,6.1,24.5,-0.02,0.1,0.02,2.2,32.0,-0.1,60.9,1.0,3799.99995,10700.0,3500.0,200.0,1700.0000000000002,280.0,490.0,7600.0,160.0
