Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM,Actual_Strat,Pred_Strat,Is_Equal,LAT,LONG,rock_type
80.0,5.099999905,74.0,-0.02,0.31,5.1,11.0,12.21,0.5,45.0,258.0,3.6,22.1,5.742047493403704,0.32,0.6,0.7,50.5,-0.02,0.2,0.04,0.7,16.0,-0.1,117.8,2.0,1500.0000599999998,13600.000000000002,15300.0,-100.0,1600.0,240.0,709.9999999999999,2400.0,70.0,MTrCc,MTrCc,True,53.79458,-123.49729,basaltic volcanic rocks
440.0,7.900000095,27.5,0.04,0.96,6.3,27.5,52.94,1.9,100.0,116.0,7.06,26.2,3.43,1.0,4.2,9.0,43.0,0.04,0.5,0.08,2.9,20.0,-0.1,66.9,7.5,6999.999879999999,18000.0,10900.0,200.0,2000.0,310.0,680.0,13000.0,130.0,TrJTk,TrJTk,True,54.88944,-123.19243,limestone bioherm/reef
760.0,6.0,24.5,0.08,3.01,8.4,28.0,69.17,2.2,285.0,205.0,5.73,28.2,6.61,1.64,4.3,10.9,68.0,0.08,0.4,0.1,3.5,24.0,-0.1,134.6,7.5,8199.99993,17100.0,21600.0,-100.0,2600.0,280.0,810.0,13600.000000000002,120.0,TrJTk,TrJTk,True,54.91269,-123.16003,"mudstone, siltstone, shale fine clastic sedimentary rocks"
465.0,6.400000095,45.0,0.11,1.07,16.6,163.0,71.87,5.9,220.0,361.0,3.1,261.8,7.02,0.54,7.4,2.7,46.0,0.04,0.9,0.16,1.9,62.0,-0.1,123.5,16.0,29200.00076,9400.0,29600.0,700.0000000000001,14500.0,310.0,1930.0,5200.0,240.0,TrJTk,TrJTk,True,54.38523,-123.43842,"mudstone, siltstone, shale fine clastic sedimentary rocks"
539.0,12.30000019,73.0,0.15,1.32,11.4,77.0,70.64,5.1,250.0,393.0,1.79,75.7,6.94,0.84,6.6,3.4,49.5,0.04,1.2,0.12,2.6,58.0,-0.1,130.0,15.0,15800.00043,15400.0,26300.0,700.0000000000001,6000.0,390.0,1250.0,5600.000000000001,260.0,TrJTk,TrJTk,True,54.31951,-123.79087,volcaniclastic rocks
260.0,5.300000191,109.0,0.08,0.41,10.7,69.5,37.92,4.4,95.0,490.0,3.69,42.9,3.43,0.64,4.9,2.0,61.0,0.04,2.6,0.1,1.7,48.0,-0.1,94.8,9.5,15800.00043,12200.0,22900.0,1000.0,5500.0,429.99999999999994,950.0,5200.0,380.0,uTrJNc,MTrCc,False,53.2775,-122.56526,undivided sedimentary rocks
180.0,4.400000095,149.0,0.06,0.33,6.4,29.5,33.6,2.3,65.0,207.0,2.22,37.9,5.7,0.52,2.3,1.0,29.5,0.04,0.4,0.06,2.0,18.0,-0.1,80.1,4.5,8799.99995,9600.0,10200.0,700.0000000000001,3900.0,300.0,1250.0,5800.0,140.0,MTrCc,CPSm,False,54.2934,-123.92867,"limestone, marble, calcareous sedimentary rocks"
220.0,5.800000191,146.0,0.04,0.62,4.9,45.0,23.83,1.0,80.0,115.0,2.34,66.4,4.25,0.42,0.8,0.6,61.5,0.02,0.2,0.04,0.5,14.0,-0.1,102.4,2.5,4900.0001,18500.0,6400.0,200.0,4100.0,320.0,570.0,6600.0,90.0,TrJTk,TrJTk,True,54.4786,-123.98055,"mudstone, siltstone, shale fine clastic sedimentary rocks"
340.0,14.39999962,25.0,0.08,1.09,3.9,126.0,24.36,1.8,100.0,108.0,7.55,19.2,4.06,0.74,5.2,23.8,32.0,0.04,0.5,0.1,7.9,34.0,-0.1,52.2,5.5,6600.00026,10900.0,12700.0,200.0,2200.0,320.0,790.0,10600.0,190.0,TrJTk,TrJTk,True,54.77727,-123.05682,basaltic volcanic rocks
440.0,4.199999809,163.5,0.06,1.56,6.8,42.5,43.84,4.0,220.0,193.0,1.42,51.8,3.97,0.56,1.3,1.9,58.0,0.04,0.7,0.1,1.1,42.0,0.2,153.8,10.5,19900.0001,8100.000000000001,10900.0,600.0,3200.0,330.0,2600.0,4000.0,50.0,CPSm,CPSm,True,54.16339,-122.81814,basaltic volcanic rocks
