,MASTERID,LAT,LONG,STRAT,Actual_Zn_PPM,Pred_Zn_PPM
197,ID093G073074,53.2322,-122.2767,uTrJNc,59.0,87.57
804,ID093J071650,54.50572,-123.59793,TrJTk,99.5,117.79
493,ID093J071080,54.54265,-123.96262,TrJTk,50.9,70.11
431,ID093G073418,53.99178,-123.0847,TrJTk,90.7,62.4
1822,ID093O072317,55.07843,-123.89556,TrJTk,38.4,71.82
554,ID093J071226,54.93763,-123.88269,TrJTk,65.5,78.47
268,ID093G073165,53.76164,-122.07223,CPSm,69.6,85.8
1649,ID093J075119,54.82436,-123.03197,TrJTk,114.5,112.98
1126,ID093J073475,54.07379,-123.13268,TrJTk,165.4,167.6
1107,ID093J073454,54.24855,-123.25277,TrJTk,165.9,133.49
1581,ID093J075029,54.97797,-123.1067,TrJTk,79.0,81.73
1850,ID093O072428,55.24778,-123.97026,TrJTk,98.4,63.91
1115,ID093J073463,54.19759,-123.23655,TrJTk,125.0,109.55
1920,ID093O073973,55.05754,-123.23602,TrJTk,87.5,90.19
1696,ID093J075172,54.64171,-123.14697,KTpg,157.6,158.43
221,ID093G073100,53.52,-122.50862,Kgr,73.0,74.25
660,ID093J071407,54.98706,-123.97795,TrJTk,30.7,45.61
1378,ID093J073760,54.49656,-122.75413,CPSm,118.6,133.81
1488,ID093J073883,54.55575,-122.80102,CPSm,139.7,131.08
590,ID093J071266,54.78276,-123.86686,ETOo,100.3,130.43
1340,ID093J073718,54.2633,-122.76576,TrJTk,144.5,151.22
1234,ID093J073599,54.45193,-123.24622,TrJTk,135.8,119.88
848,ID093J071699,54.31951,-123.79087,TrJTk,130.0,129.92
1812,ID093O072280,55.05366,-123.92245,TrJTk,76.0,79.1
1876,ID093O072456,55.04183,-123.61265,TrJTk,132.1,142.55
866,ID093J071719,54.3827,-123.57801,TrJTk,126.3,121.99
1756,ID093N071197,55.14777,-124.4439,TrJTk,28.5,48.17
389,ID093G073307,53.8579,-123.72806,MTrCc,89.3,70.26
76,ID093G071939,53.48492,-123.60682,MTrCc,29.7,61.1
1588,ID093J075051,54.91157,-123.18671,TrJTk,90.8,100.56
200,ID093G073077,53.19506,-122.32853,uTrJNc,108.6,139.28
613,ID093J071351,54.59117,-123.70643,TrJTk,194.1,170.47
1903,ID093O072499,55.13274,-123.52404,KTmc,57.8,77.46
490,ID093J071077,54.33571,-123.92379,MTrCc,125.7,134.31
1821,ID093O072316,55.07177,-123.9181,TrJTk,67.2,68.22
29,ID093G071033,53.66951,-122.88553,TrJTk,84.5,87.81
1127,ID093J073476,54.08343,-123.12784,TrJTk,118.2,121.5
210,ID093G073088,53.27173,-122.4299,uTrJNc,133.4,146.19
1784,ID093N071296,55.17629,-124.30112,lJCl,89.5,106.92
407,ID093G073327,53.84505,-123.8315,MTrCc,57.0,89.03
1142,ID093J073492,54.02244,-123.0354,TrJTk,171.8,134.82
1149,ID093J073506,54.06292,-123.00423,TrJTk,170.4,139.07
486,ID093J071072,54.28641,-123.89699,MTrCc,137.8,98.48
307,ID093G073216,53.705,-123.24011,MTrCc,71.5,106.27
1790,ID093N071303,55.23369,-124.32243,?ETOo,49.1,55.95
1341,ID093J073719,54.26206,-122.73281,TrJTk,145.2,155.89
102,ID093G071968,53.67628,-123.5156,PJog,8.5,48.67
776,ID093J071618,54.68751,-123.27075,Kpe,121.5,135.17
1083,ID093J073427,54.27182,-123.30016,TrJTk,117.5,118.54
1382,ID093J073766,54.47005,-122.84605,KTmc,135.9,142.15
50,ID093G071910,53.76928,-123.07134,TrJTk,150.0,145.44
269,ID093G073166,53.76143,-122.11583,TrJTk,80.6,88.88
915,ID093J071774,54.81917,-123.17223,TrJTk,178.3,113.48
987,ID093J071856,54.15679,-123.43589,TrJTk,154.8,150.31
588,ID093J071264,54.74385,-123.91614,LTQCh,56.5,77.04
1161,ID093J073518,54.16425,-123.01241,TrJTk,53.1,68.63
796,ID093J071640,54.5418,-123.58643,TrJTk,243.7,195.75
