,MASTERID,LAT,LONG,STRAT,Actual_Cu_PPM,Pred_Cu_PPM
1923,ID093O073976,55.02277,-123.27116,TrJTk,86.66,62.75
1379,ID093J073762,54.49583,-122.82124,KTpg,40.46,47.83
331,ID093G073243,53.78089,-123.42523,MTrCc,22.27,22.58
108,ID093G071974,53.65683,-123.62489,ETgd,32.5,34.44
1079,ID093J073423,54.15637,-123.27519,TrJTk,43.61,43.57
1699,ID093J075175,54.61456,-123.04147,TrJTk,96.93,81.25
786,ID093J071629,54.492,-123.44683,TrJTk,69.43,58.54
1128,ID093J073477,54.08594,-123.10862,TrJTk,30.45,34.04
1716,ID093N071153,55.01747,-124.17387,TrJTk,41.78,32.11
660,ID093J071407,54.98706,-123.97795,TrJTk,29.93,41.56
438,ID093G073500,53.99261,-122.97218,TrJTk,35.76,37.7
611,ID093J071349,54.46739,-123.90878,TrJTk,42.95,37.44
15,ID093G071018,53.5351,-122.86143,TrJTk,57.19,52.71
166,ID093G073039,53.22069,-122.57879,uTrJNc,28.71,31.55
21,ID093G071025,53.55175,-122.84963,TrJTk,24.81,26.81
1324,ID093J073700,54.34208,-122.71659,TrJTk,41.6,45.14
1572,ID093J073997,54.9972,-123.26697,TrJTk,41.86,38.53
1486,ID093J073880,54.54283,-122.76653,CPSm,40.56,46.52
162,ID093G073035,53.25945,-122.68003,uTrJNc,49.88,44.97
460,ID093J071044,54.1048,-123.60976,MTrCc,38.07,36.43
298,ID093G073206,53.73643,-122.7899,TrJTk,33.95,31.26
508,ID093J071097,54.64434,-123.68745,TrJTk,23.62,25.73
632,ID093J071376,54.6405,-123.81579,EKgd,40.39,44.29
780,ID093J071623,54.66068,-123.2671,KTpg,55.21,57.58
1623,ID093J075090,54.9027,-123.06904,TrJTk,14.11,15.65
1640,ID093J075110,54.82116,-123.11752,TrJTk,58.38,52.74
1915,ID093O073967,55.13563,-123.19651,TrJTk,51.78,56.71
262,ID093G073146,53.54037,-122.07993,TrJTk,54.06,46.8
295,ID093G073203,53.75094,-122.50816,TrJTk,59.78,55.76
1376,ID093J073758,54.45125,-122.69609,CPSm,27.56,41.92
737,ID093J071575,54.65763,-123.45113,KTpg,43.92,43.84
1416,ID093J073803,54.3919,-122.61642,KTpg,47.18,43.87
125,ID093G071993,53.38364,-123.25625,MTrCc,19.64,20.71
564,ID093J071236,54.8016,-123.89769,TrJTk,27.27,37.54
1369,ID093J073750,54.34878,-122.65762,CPSm,39.72,46.05
794,ID093J071638,54.56443,-123.5464,TrJTk,58.94,62.1
696,ID093J071529,54.6346,-123.56617,KTpg,56.75,54.98
271,ID093G073168,53.78723,-122.17684,TrJTk,59.08,57.24
471,ID093J071056,54.16436,-123.81951,MTrCc,53.64,51.29
1755,ID093N071195,55.13638,-124.54536,TrJTk,57.58,38.86
1167,ID093J073525,54.1894,-123.08483,TrJTk,30.85,29.45
847,ID093J071698,54.32412,-123.74837,TrJTk,46.87,48.06
157,ID093G073030,53.293,-122.70929,uTrJNc,48.55,57.58
1880,ID093O072463,55.19965,-123.46534,OMEa,52.85,52.96
1823,ID093O072318,55.07246,-123.88221,TrJTk,120.6,77.58
31,ID093G071035,53.63793,-122.86327,TrJTk,45.49,56.74
1854,ID093O072432,55.16739,-123.86294,KTpg,67.9,55.26
368,ID093G073284,53.78727,-123.24935,MTrCc,37.41,33.91
1053,ID093J073380,54.1056,-123.2866,TrJTk,44.27,42.47
130,ID093G071998,53.37596,-123.32428,MTrCc,24.06,25.32
1354,ID093J073734,54.24376,-122.67741,TrJTk,35.6,33.37
1114,ID093J073462,54.20863,-123.24343,TrJTk,37.19,33.91
275,ID093G073172,53.76574,-122.30374,MJqm,53.81,35.47
1077,ID093J073415,54.0141,-123.11833,TrJTk,25.11,25.27
163,ID093G073036,53.22522,-122.65429,uTrJNc,16.42,18.43
